txn_id,txn_datetime,account_no,branch,txn_type,amount,status,error_code
100033,2024-11-29 05:45:00,20071,Delhi,NETBANKING,820.06,SUCCESS,
100034,2024-10-20 22:13:00,20020,Delhi,CASH,2230.0,SUCCESS,
100035,2024-11-19 22:52:00,20069,Bengaluru,CASH,65.29,SUCCESS,
100036,2024-12-28 16:43:00,20084,Mumbai,RTGS,286.35,SUCCESS,
100037,2024-12-04 14:16:00,20056,Delhi,NETBANKING,2319.1,SUCCESS,
100038,2024-12-14 06:50:00,20038,Bengaluru,NEFT,477.46,SUCCESS,
100039,2024-10-18 19:38:00,20087,Hyderabad,CASH,3898.06,SUCCESS,
100040,2024-11-28 15:58:00,20032,Delhi,NEFT,120.75,SUCCESS,
100041,2024-12-25 02:17:00,20058,Bengaluru,NEFT,485.37,SUCCESS,
100042,2024-10-13 19:11:00,20017,Delhi,IMPS,13086.57,SUCCESS,
100043,2024-10-02 21:47:00,20055,Chennai,CASH,1135.06,FAILED,NETWORK
100044,2024-12-26 00:15:00,20091,Bengaluru,NEFT,2427.82,SUCCESS,
100045,2024-11-11 01:50:00,20056,Hyderabad,NETBANKING,403.41,SUCCESS,
100046,2024-11-15 15:25:00,20095,Hyderabad,CASH,1882.54,SUCCESS,
100047,2024-11-28 18:54:00,20075,Hyderabad,IMPS,2590.03,SUCCESS,
100048,2024-10-25 20:13:00,20047,Chennai,NEFT,755.15,SUCCESS,
100049,2024-12-22 21:06:00,20041,Chennai,IMPS,3530.98,SUCCESS,
100050,2024-11-16 19:55:00,20026,Chennai,CASH,1849.74,SUCCESS,
100051,2024-11-09 12:06:00,20073,Bengaluru,NEFT,985.72,SUCCESS,
100052,2024-11-16 09:23:00,20051,Mumbai,NEFT,1631.27,SUCCESS,
100053,2024-10-22 21:51:00,20041,Chennai,NETBANKING,1719.64,SUCCESS,
100054,2024-12-20 16:56:00,20031,Mumbai,IMPS,361.93,SUCCESS,
100055,2024-10-08 21:54:00,20025,Mumbai,CASH,1030.78,FAILED,NETWORK
100056,2024-11-17 23:32:00,20024,Hyderabad,RTGS,841.45,SUCCESS,
100057,2024-10-03 16:50:00,20074,Bengaluru,CASH,1024.66,SUCCESS,
100058,2024-10-29 21:26:00,20022,Delhi,NETBANKING,2863.51,SUCCESS,
100059,2024-12-06 20:36:00,20097,Mumbai,NEFT,1317.64,SUCCESS,
100060,2024-12-27 08:08:00,20056,Bengaluru,NEFT,5637.39,SUCCESS,
100061,2024-11-25 13:58:00,20051,Mumbai,CASH,695.36,SUCCESS,
100062,2024-11-30 15:13:00,20086,Bengaluru,IMPS,1074.69,SUCCESS,
100063,2024-10-08 09:07:00,20092,Bengaluru,NEFT,3092.52,FAILED,AUTH_FAIL
100064,2024-10-07 02:32:00,20030,Chennai,NEFT,1579.42,SUCCESS,
100065,2024-12-15 14:19:00,20063,Bengaluru,CASH,1583.85,SUCCESS,
100066,2024-12-15 09:17:00,20070,Delhi,NETBANKING,109.63,SUCCESS,
100067,2024-11-21 08:49:00,20032,Delhi,RTGS,1016.99,FAILED,BAL_INSUFFICIENT
100068,2024-10-30 20:41:00,20084,Chennai,IMPS,631.43,SUCCESS,
100069,2024-11-23 03:52:00,20001,Bengaluru,IMPS,14631.82,SUCCESS,
100070,2024-10-17 14:17:00,20017,Hyderabad,IMPS,737.37,SUCCESS,
100071,2024-11-17 07:48:00,20046,Hyderabad,CASH,4316.91,SUCCESS,
100072,2024-12-24 12:49:00,20032,Chennai,NETBANKING,2255.47,SUCCESS,
100073,2024-12-26 06:43:00,20097,Bengaluru,NEFT,833.81,SUCCESS,
100074,2024-12-23 23:23:00,20083,Chennai,IMPS,1568.48,SUCCESS,
100075,2024-12-23 10:54:00,20034,Hyderabad,IMPS,3671.87,SUCCESS,
100076,2024-10-17 07:23:00,20050,Delhi,IMPS,4297.47,SUCCESS,
100077,2024-12-26 08:38:00,20017,Delhi,NETBANKING,349.64,SUCCESS,
100078,2024-11-03 17:15:00,20087,Chennai,NEFT,829.74,SUCCESS,
100079,2024-12-27 02:36:00,20071,Chennai,IMPS,816.61,SUCCESS,
100080,2024-10-12 21:59:00,20029,Bengaluru,IMPS,85.91,SUCCESS,
100081,2024-12-16 17:50:00,20043,Bengaluru,CASH,1823.79,SUCCESS,
100082,2024-12-13 23:30:00,20052,Delhi,NEFT,3859.56,SUCCESS,
100083,2024-11-25 14:37:00,20009,Mumbai,RTGS,961.16,SUCCESS,
100084,2024-10-25 22:40:00,20086,Bengaluru,NEFT,2694.42,SUCCESS,
100085,2024-12-03 22:27:00,20051,Chennai,NEFT,1976.11,SUCCESS,
100086,2024-11-16 14:41:00,20048,Delhi,NEFT,942.08,SUCCESS,
100087,2024-11-18 05:59:00,20010,Hyderabad,IMPS,304.11,SUCCESS,
100088,2024-12-02 03:15:00,20065,Bengaluru,NETBANKING,2471.09,SUCCESS,
100089,2024-10-14 12:17:00,20057,Delhi,CASH,3856.05,SUCCESS,
100090,2024-11-16 05:17:00,20089,Chennai,NEFT,2315.8,SUCCESS,
100091,2024-11-23 14:29:00,20035,Hyderabad,NEFT,36.08,FAILED,AUTH_FAIL
100092,2024-12-15 18:29:00,20032,Hyderabad,NEFT,487.29,SUCCESS,
100093,2024-11-24 19:53:00,20046,Delhi,NETBANKING,144.02,SUCCESS,
100094,2024-11-06 19:15:00,20012,Mumbai,CASH,1689.74,SUCCESS,
100095,2024-10-29 07:17:00,20039,Hyderabad,CASH,2825.09,SUCCESS,
100096,2024-10-07 17:32:00,20088,Bengaluru,IMPS,234.37,SUCCESS,
100097,2024-11-01 18:38:00,20067,Hyderabad,NEFT,3644.49,SUCCESS,
100098,2024-12-29 21:05:00,20041,Bengaluru,IMPS,1621.65,SUCCESS,
100099,2024-11-20 06:49:00,20018,Bengaluru,RTGS,2342.17,SUCCESS,
100100,2024-11-19 10:51:00,20081,Hyderabad,NEFT,7108.83,SUCCESS,
100101,2024-11-15 14:57:00,20093,Bengaluru,CASH,174.78,SUCCESS,
100102,2024-10-26 17:45:00,20018,Delhi,CASH,4629.8,SUCCESS,
100103,2024-12-03 22:53:00,20057,Bengaluru,NEFT,269.58,SUCCESS,
100104,2024-12-08 22:59:00,20022,Hyderabad,NEFT,998.32,SUCCESS,
100105,2024-12-29 18:53:00,20053,Bengaluru,NETBANKING,3813.52,SUCCESS,
100106,2024-10-23 15:26:00,20079,Mumbai,IMPS,4734.34,SUCCESS,
100107,2024-12-28 17:51:00,20064,Bengaluru,CASH,1411.94,SUCCESS,
100108,2024-10-09 00:14:00,20011,Chennai,NETBANKING,1803.32,SUCCESS,
100109,2024-12-05 17:43:00,20023,Mumbai,CASH,2463.01,SUCCESS,
100110,2024-10-29 01:17:00,20033,Delhi,IMPS,3576.63,SUCCESS,
100111,2024-12-27 23:18:00,20052,Mumbai,CASH,259.1,SUCCESS,
100112,2024-12-03 11:07:00,20007,Bengaluru,CASH,3322.19,SUCCESS,
100113,2024-10-01 16:56:00,20017,Bengaluru,IMPS,1312.77,SUCCESS,
100114,2024-12-02 08:29:00,20056,Mumbai,NEFT,1197.94,SUCCESS,
100115,2024-11-08 14:31:00,20004,Bengaluru,IMPS,1102.95,SUCCESS,
100116,2024-12-02 08:52:00,20025,Hyderabad,NEFT,1423.48,SUCCESS,
100117,2024-10-17 03:27:00,20029,Delhi,CASH,5802.68,SUCCESS,
100118,2024-10-17 21:00:00,20053,Mumbai,IMPS,1589.05,SUCCESS,
100119,2024-11-21 10:25:00,20012,Mumbai,RTGS,6122.78,SUCCESS,
100120,2024-11-27 11:58:00,20082,Delhi,CASH,397.61,SUCCESS,
100121,2024-10-07 10:28:00,20028,Chennai,NEFT,2575.69,SUCCESS,
100122,2024-11-30 06:47:00,20002,Mumbai,IMPS,3345.18,SUCCESS,
100123,2024-10-09 11:05:00,20089,Hyderabad,IMPS,2273.43,SUCCESS,
100124,2024-11-14 05:44:00,20057,Delhi,IMPS,1867.5,SUCCESS,
100125,2024-11-30 06:19:00,20075,Hyderabad,IMPS,1663.96,SUCCESS,
100126,2024-10-28 03:39:00,20001,Chennai,NETBANKING,3945.56,SUCCESS,
100127,2024-10-06 22:51:00,20074,Hyderabad,NEFT,3447.98,SUCCESS,
100128,2024-12-25 16:12:00,20027,Bengaluru,IMPS,260.88,SUCCESS,
100129,2024-12-13 06:32:00,20081,Chennai,IMPS,3775.5,SUCCESS,
100130,2024-10-27 10:04:00,20076,Hyderabad,IMPS,1069.11,SUCCESS,
100131,2024-11-05 13:34:00,20085,Chennai,NEFT,585.25,SUCCESS,
100132,2024-11-12 12:28:00,20075,Chennai,IMPS,4076.88,SUCCESS,
100133,2024-12-19 16:32:00,20001,Chennai,IMPS,1131.36,SUCCESS,
100134,2024-11-04 00:24:00,20006,Bengaluru,IMPS,3304.32,SUCCESS,
100135,2024-10-29 07:34:00,20025,Hyderabad,NEFT,611.43,SUCCESS,
100136,2024-10-02 18:48:00,20089,Mumbai,NEFT,7.87,SUCCESS,
100137,2024-12-23 10:31:00,20087,Hyderabad,NETBANKING,1368.21,SUCCESS,
100138,2024-11-13 11:12:00,20075,Hyderabad,NETBANKING,211.23,SUCCESS,
100139,2024-11-16 22:03:00,20015,Chennai,IMPS,2807.91,SUCCESS,
100140,2024-10-02 20:55:00,20022,Delhi,IMPS,646.14,SUCCESS,
100141,2024-12-26 08:55:00,20039,Mumbai,CASH,1172.7,SUCCESS,
100142,2024-11-03 11:10:00,20059,Bengaluru,NEFT,182.11,SUCCESS,
100143,2024-10-04 15:38:00,20072,Delhi,CASH,675.59,SUCCESS,
100144,2024-11-30 18:58:00,20031,Mumbai,RTGS,3041.85,FAILED,TIMEOUT
100145,2024-10-28 10:24:00,20014,Mumbai,NEFT,328.78,SUCCESS,
100146,2024-10-24 00:39:00,20012,Chennai,IMPS,2083.48,SUCCESS,
100147,2024-10-10 17:06:00,20004,Mumbai,RTGS,4988.12,SUCCESS,
100148,2024-11-12 22:58:00,20074,Chennai,NETBANKING,2277.85,SUCCESS,
100149,2024-12-29 19:12:00,20073,Mumbai,IMPS,3332.25,SUCCESS,
100150,2024-10-09 19:06:00,20051,Delhi,IMPS,230.76,FAILED,BAL_INSUFFICIENT
100151,2024-10-27 20:20:00,20076,Delhi,IMPS,577.32,SUCCESS,
100152,2024-10-03 11:21:00,20040,Chennai,NEFT,4498.83,SUCCESS,
100153,2024-10-19 15:34:00,20052,Delhi,CASH,2511.27,SUCCESS,
100154,2024-11-14 19:05:00,20049,Bengaluru,CASH,2040.83,SUCCESS,
100155,2024-12-12 13:28:00,20014,Bengaluru,CASH,2179.9,SUCCESS,
100156,2024-11-06 06:51:00,20006,Chennai,NETBANKING,1069.56,SUCCESS,
100157,2024-10-16 17:42:00,20039,Mumbai,CASH,91.16,SUCCESS,
100158,2024-10-06 19:52:00,20027,Bengaluru,IMPS,3069.05,SUCCESS,
100159,2024-10-22 04:55:00,20031,Chennai,CASH,2270.84,SUCCESS,
100160,2024-11-24 14:03:00,20098,Bengaluru,NETBANKING,1280.37,SUCCESS,
100161,2024-12-18 20:49:00,20014,Chennai,NEFT,4600.37,SUCCESS,
100162,2024-11-06 06:56:00,20099,Delhi,NEFT,819.43,SUCCESS,
100163,2024-12-01 21:35:00,20084,Mumbai,NEFT,697.19,SUCCESS,
100164,2024-12-28 12:38:00,20069,Hyderabad,RTGS,4123.93,SUCCESS,
100165,2024-10-25 11:02:00,20064,Delhi,NEFT,3188.98,SUCCESS,
100166,2024-11-23 17:33:00,20003,Mumbai,RTGS,1447.13,SUCCESS,
100167,2024-11-25 06:15:00,20010,Mumbai,IMPS,280.21,PENDING,BAL_INSUFFICIENT
100168,2024-12-25 21:24:00,20025,Mumbai,NEFT,484.33,FAILED,TIMEOUT
100169,2024-12-06 21:54:00,20060,Delhi,CASH,2135.55,SUCCESS,
100170,2024-11-28 18:51:00,20036,Mumbai,IMPS,972.4,FAILED,TIMEOUT
100171,2024-11-13 23:35:00,20022,Chennai,NEFT,3621.56,SUCCESS,
100172,2024-10-08 14:45:00,20092,Hyderabad,NETBANKING,5989.67,SUCCESS,
100173,2024-10-18 00:58:00,20084,Mumbai,CASH,3276.05,SUCCESS,
100174,2024-12-15 01:06:00,20090,Chennai,IMPS,948.17,SUCCESS,
100175,2024-11-19 00:32:00,20039,Chennai,IMPS,3108.82,SUCCESS,
100176,2024-12-08 01:38:00,20076,Hyderabad,IMPS,866.01,SUCCESS,
100177,2024-12-18 15:32:00,20022,Hyderabad,NEFT,365.68,SUCCESS,
100178,2024-10-06 15:10:00,20015,Chennai,NETBANKING,67.93,SUCCESS,
100179,2024-11-25 01:49:00,20093,Mumbai,IMPS,974.6,SUCCESS,
100180,2024-10-19 22:26:00,20060,Mumbai,NEFT,4677.65,SUCCESS,
100181,2024-11-06 19:12:00,20067,Bengaluru,IMPS,546.21,SUCCESS,
100182,2024-11-27 14:28:00,20079,Bengaluru,IMPS,462.64,SUCCESS,
100183,2024-12-24 18:33:00,20030,Bengaluru,NETBANKING,7001.2,SUCCESS,
100184,2024-12-08 14:46:00,20052,Bengaluru,NETBANKING,50.64,SUCCESS,
100185,2024-10-05 19:10:00,20024,Bengaluru,NEFT,3081.52,SUCCESS,
100186,2024-12-17 01:49:00,20043,Mumbai,NEFT,775.36,SUCCESS,
100187,2024-12-03 04:22:00,20011,Delhi,NETBANKING,76.42,SUCCESS,
100188,2024-12-24 11:06:00,20089,Hyderabad,NEFT,4997.26,SUCCESS,
100189,2024-12-22 18:16:00,20096,Chennai,NETBANKING,300.81,SUCCESS,
100190,2024-10-01 03:26:00,20091,Mumbai,IMPS,1604.94,SUCCESS,
100191,2024-11-30 10:54:00,20008,Delhi,CASH,640.56,SUCCESS,
100192,2024-12-01 00:57:00,20011,Delhi,NEFT,134.83,SUCCESS,
100193,2024-12-25 00:09:00,20068,Bengaluru,NEFT,102.42,SUCCESS,
100194,2024-10-17 06:19:00,20053,Bengaluru,RTGS,245.59,SUCCESS,
100195,2024-11-05 03:56:00,20053,Bengaluru,NEFT,148.08,SUCCESS,
100196,2024-12-25 02:26:00,20027,Chennai,NEFT,2858.89,SUCCESS,
100197,2024-12-19 07:58:00,20055,Mumbai,NETBANKING,1329.38,SUCCESS,
100198,2024-11-04 17:35:00,20098,Hyderabad,CASH,839.81,SUCCESS,
100199,2024-12-21 13:58:00,20068,Delhi,IMPS,1083.84,SUCCESS,
100200,2024-12-24 18:56:00,20097,Chennai,NEFT,5288.65,SUCCESS,
100201,2024-12-14 08:19:00,20097,Delhi,CASH,4832.67,SUCCESS,
100202,2024-11-07 16:28:00,20076,Bengaluru,CASH,2515.29,SUCCESS,
100203,2024-12-16 20:47:00,20057,Bengaluru,NEFT,4320.13,SUCCESS,
100204,2024-12-01 01:39:00,20077,Hyderabad,CASH,770.29,SUCCESS,
100205,2024-10-13 14:21:00,20074,Bengaluru,NEFT,959.65,SUCCESS,
100206,2024-11-25 19:16:00,20041,Mumbai,IMPS,1902.35,SUCCESS,
100207,2024-12-13 12:38:00,20037,Bengaluru,IMPS,1954.34,SUCCESS,
100208,2024-11-19 22:30:00,20067,Mumbai,NEFT,1314.4,SUCCESS,
100209,2024-11-08 22:04:00,20052,Bengaluru,NEFT,1023.85,SUCCESS,
100210,2024-11-16 16:14:00,20032,Hyderabad,CASH,8563.32,FAILED,AUTH_FAIL
100211,2024-12-21 21:30:00,20070,Mumbai,NEFT,3442.12,SUCCESS,
100212,2024-12-22 20:44:00,20055,Delhi,NEFT,1141.79,SUCCESS,
100213,2024-10-24 11:47:00,20071,Hyderabad,NETBANKING,2598.71,SUCCESS,
100214,2024-11-08 18:20:00,20050,Delhi,NEFT,628.22,SUCCESS,
100215,2024-11-13 11:43:00,20073,Chennai,NEFT,211.1,PENDING,TIMEOUT
100216,2024-11-26 18:14:00,20042,Hyderabad,IMPS,869.06,SUCCESS,
100217,2024-11-22 09:30:00,20014,Mumbai,IMPS,1031.59,SUCCESS,
100218,2024-12-04 21:06:00,20037,Hyderabad,NETBANKING,33.35,FAILED,NETWORK
100219,2024-12-21 20:05:00,20014,Hyderabad,CASH,3372.55,SUCCESS,
100220,2024-10-16 11:39:00,20004,Mumbai,CASH,890.06,SUCCESS,
100221,2024-10-31 06:25:00,20092,Hyderabad,NEFT,1736.99,SUCCESS,
100222,2024-12-15 20:25:00,20082,Bengaluru,CASH,153.68,SUCCESS,
100223,2024-11-14 11:24:00,20053,Bengaluru,NEFT,384.74,SUCCESS,
100224,2024-10-30 13:17:00,20050,Mumbai,NETBANKING,4408.99,SUCCESS,
100225,2024-11-04 02:00:00,20009,Mumbai,IMPS,1876.5,SUCCESS,
100226,2024-12-16 01:56:00,20011,Hyderabad,CASH,6002.86,SUCCESS,
100227,2024-10-02 20:53:00,20003,Delhi,CASH,13369.28,SUCCESS,
100228,2024-12-05 23:23:00,20094,Hyderabad,NETBANKING,929.98,FAILED,NETWORK
100229,2024-12-06 03:39:00,20017,Mumbai,NEFT,709.93,SUCCESS,
100230,2024-12-17 22:35:00,20079,Delhi,NETBANKING,3908.88,SUCCESS,
100231,2024-11-18 00:43:00,20035,Mumbai,IMPS,13158.96,SUCCESS,
100232,2024-10-19 00:19:00,20024,Chennai,NETBANKING,1986.57,SUCCESS,
100233,2024-11-03 23:25:00,20086,Mumbai,NETBANKING,3170.86,SUCCESS,
100234,2024-10-30 19:41:00,20075,Hyderabad,NEFT,3044.19,SUCCESS,
100235,2024-10-16 03:54:00,20097,Chennai,IMPS,878.06,SUCCESS,
100236,2024-10-13 12:47:00,20035,Hyderabad,NEFT,1707.9,FAILED,BAL_INSUFFICIENT
100237,2024-10-19 03:05:00,20066,Hyderabad,NEFT,3580.2,SUCCESS,
100238,2024-11-22 14:46:00,20008,Bengaluru,NEFT,2330.23,SUCCESS,
100239,2024-10-11 21:47:00,20060,Bengaluru,NEFT,42.78,SUCCESS,
100240,2024-10-16 06:16:00,20052,Chennai,CASH,821.07,SUCCESS,
100241,2024-10-31 17:42:00,20017,Delhi,CASH,312.08,SUCCESS,
100242,2024-12-26 21:17:00,20042,Bengaluru,NEFT,530.46,SUCCESS,
100243,2024-10-17 12:16:00,20034,Bengaluru,NETBANKING,4718.09,SUCCESS,
100244,2024-10-21 21:20:00,20062,Chennai,IMPS,75.18,SUCCESS,
100245,2024-12-29 03:36:00,20097,Mumbai,NEFT,496.41,SUCCESS,
100246,2024-11-16 10:02:00,20077,Bengaluru,NEFT,740.88,SUCCESS,
100247,2024-11-12 14:53:00,20003,Bengaluru,CASH,1918.84,SUCCESS,
100248,2024-10-05 16:56:00,20092,Chennai,IMPS,1527.58,SUCCESS,
100249,2024-12-04 10:27:00,20040,Mumbai,RTGS,492.49,SUCCESS,
100250,2024-12-28 20:28:00,20044,Bengaluru,NEFT,358.83,SUCCESS,
100251,2024-11-08 04:56:00,20049,Hyderabad,IMPS,540.47,SUCCESS,
100252,2024-10-07 13:54:00,20078,Mumbai,IMPS,1396.44,SUCCESS,
100253,2024-12-13 11:50:00,20027,Bengaluru,CASH,632.65,SUCCESS,
100254,2024-11-10 07:33:00,20041,Bengaluru,NEFT,5897.79,SUCCESS,
100255,2024-10-16 05:59:00,20079,Chennai,IMPS,1246.74,SUCCESS,
100256,2024-10-04 20:10:00,20075,Delhi,IMPS,121.19,SUCCESS,
100257,2024-12-05 20:56:00,20068,Hyderabad,CASH,2613.24,FAILED,AUTH_FAIL
100258,2024-12-22 17:01:00,20097,Chennai,NEFT,797.51,SUCCESS,
100259,2024-10-03 14:28:00,20000,Hyderabad,IMPS,2119.68,SUCCESS,
100260,2024-12-07 17:04:00,20038,Delhi,NEFT,655.88,FAILED,AUTH_FAIL
100261,2024-12-08 02:58:00,20095,Bengaluru,RTGS,1691.4,SUCCESS,
100262,2024-10-10 09:45:00,20089,Chennai,CASH,2958.16,SUCCESS,
100263,2024-12-28 15:39:00,20016,Mumbai,CASH,5262.42,SUCCESS,
100264,2024-11-15 23:19:00,20090,Delhi,NEFT,605.26,SUCCESS,
100265,2024-10-25 03:26:00,20087,Mumbai,NETBANKING,815.51,FAILED,BAL_INSUFFICIENT
100266,2024-11-21 01:30:00,20034,Hyderabad,IMPS,1248.24,SUCCESS,
100267,2024-12-04 23:17:00,20045,Hyderabad,NETBANKING,5239.39,SUCCESS,
100268,2024-11-12 10:07:00,20041,Hyderabad,NEFT,4633.1,SUCCESS,
100269,2024-12-06 13:19:00,20038,Chennai,RTGS,188.35,SUCCESS,
100270,2024-12-20 16:23:00,20089,Mumbai,NETBANKING,282.97,SUCCESS,
100271,2024-11-17 19:20:00,20048,Mumbai,NEFT,1368.41,PENDING,TIMEOUT
100272,2024-12-22 06:11:00,20061,Hyderabad,NETBANKING,225.48,SUCCESS,
100273,2024-11-07 18:24:00,20037,Mumbai,NETBANKING,848.01,SUCCESS,
100274,2024-11-05 10:05:00,20022,Delhi,NETBANKING,321.24,SUCCESS,
100275,2024-11-02 08:16:00,20021,Delhi,NETBANKING,2021.42,SUCCESS,
100276,2024-10-28 07:53:00,20003,Mumbai,IMPS,5971.38,SUCCESS,
100277,2024-11-13 01:23:00,20048,Chennai,NETBANKING,11448.24,SUCCESS,
100278,2024-11-27 18:51:00,20058,Chennai,NEFT,940.78,SUCCESS,
100279,2024-11-06 14:53:00,20072,Bengaluru,IMPS,1827.65,SUCCESS,
100280,2024-11-15 08:38:00,20067,Bengaluru,NEFT,3879.6,SUCCESS,
100281,2024-12-16 08:33:00,20070,Chennai,IMPS,249.91,SUCCESS,
100282,2024-12-02 03:14:00,20086,Bengaluru,IMPS,2339.56,SUCCESS,
100283,2024-10-17 10:24:00,20001,Chennai,IMPS,1051.35,SUCCESS,
100284,2024-11-16 15:32:00,20048,Chennai,RTGS,461.71,SUCCESS,
100285,2024-11-29 10:56:00,20087,Chennai,NEFT,1030.85,SUCCESS,
100286,2024-12-27 09:59:00,20094,Bengaluru,NEFT,158.0,SUCCESS,
100287,2024-12-04 18:24:00,20030,Bengaluru,CASH,2377.56,SUCCESS,
100288,2024-12-20 03:06:00,20039,Bengaluru,CASH,582.69,SUCCESS,
100289,2024-10-19 13:36:00,20047,Bengaluru,IMPS,746.21,SUCCESS,
100290,2024-12-05 10:09:00,20050,Delhi,IMPS,258.13,SUCCESS,
100291,2024-12-11 13:21:00,20042,Hyderabad,CASH,3999.92,SUCCESS,
100292,2024-12-18 08:59:00,20097,Hyderabad,NEFT,1360.24,SUCCESS,
100293,2024-12-17 21:41:00,20054,Bengaluru,NEFT,1697.95,SUCCESS,
100294,2024-10-01 14:14:00,20087,Chennai,IMPS,1685.3,SUCCESS,
100295,2024-12-02 13:24:00,20048,Mumbai,IMPS,1056.94,SUCCESS,
100296,2024-10-27 19:43:00,20089,Bengaluru,CASH,427.7,SUCCESS,
100297,2024-10-06 03:12:00,20079,Delhi,IMPS,2734.02,SUCCESS,
100298,2024-11-08 16:00:00,20056,Mumbai,NEFT,271.77,SUCCESS,
100299,2024-12-27 17:54:00,20076,Bengaluru,IMPS,219.35,SUCCESS,
100300,2024-11-02 10:37:00,20014,Chennai,CASH,2476.75,SUCCESS,
100301,2024-12-23 06:57:00,20026,Chennai,NETBANKING,468.5,PENDING,AUTH_FAIL
100302,2024-11-30 11:32:00,20067,Hyderabad,CASH,732.79,SUCCESS,
100303,2024-11-05 07:39:00,20079,Mumbai,IMPS,1289.58,FAILED,BAL_INSUFFICIENT
100304,2024-12-27 06:17:00,20063,Bengaluru,NEFT,1193.32,SUCCESS,
100305,2024-12-12 06:55:00,20093,Hyderabad,CASH,2465.97,SUCCESS,
100306,2024-10-19 06:29:00,20029,Hyderabad,CASH,1953.31,SUCCESS,
100307,2024-11-30 17:35:00,20035,Chennai,NEFT,2067.88,SUCCESS,
100308,2024-11-14 06:14:00,20066,Delhi,RTGS,2503.91,SUCCESS,
100309,2024-11-18 22:27:00,20085,Bengaluru,CASH,692.35,SUCCESS,
100310,2024-11-06 13:42:00,20085,Bengaluru,IMPS,778.2,SUCCESS,
100311,2024-12-08 09:46:00,20048,Chennai,IMPS,1152.5,SUCCESS,
100312,2024-12-16 05:11:00,20075,Bengaluru,NEFT,734.78,SUCCESS,
100313,2024-12-22 13:46:00,20054,Bengaluru,CASH,8391.14,SUCCESS,
100314,2024-10-09 19:28:00,20084,Hyderabad,NETBANKING,3364.58,SUCCESS,
100315,2024-10-18 14:22:00,20055,Bengaluru,NEFT,359.82,PENDING,BAL_INSUFFICIENT
100316,2024-10-26 19:17:00,20067,Hyderabad,CASH,11.22,SUCCESS,
100317,2024-11-17 03:03:00,20094,Hyderabad,IMPS,87.45,SUCCESS,
100318,2024-12-13 19:48:00,20043,Bengaluru,NEFT,559.6,SUCCESS,
100319,2024-11-06 04:03:00,20030,Chennai,NEFT,242.73,SUCCESS,
100320,2024-12-13 16:01:00,20057,Bengaluru,CASH,1524.3,SUCCESS,
